"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"1","SW1F-202","438.81250","431.21250","D-Digital","Mid","12.5K","Off","Off","202","Group Call","202","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","1","Scan TG 202","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","Off","Off","1","0","On","0","1","0","0","0"
"2","SW1F-8","438.81250","431.21250","D-Digital","Turbo","12.5K","Off","Off","8","Group Call","8","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","Off","Digital","1","0","On","0","1","0","0","0"
"3","SW1F-9","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","9","Group Call","9","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","On","Digital","1","0","On","0","1","0","0","0"
"4","SW1F-4048","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4048","Group Call","4048","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","Off","Off","1","0","Off","0","1","0","0","0"
"5","SW1F-4148","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4148","Group Call","4148","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"6","SW1F-4240","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4240","Group Call","4240","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"7","SW1F-4241","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4241","Group Call","4241","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"8","SW1F-4242","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4242","Group Call","4242","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"9","SW1F-4243","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4243","Group Call","4243","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"10","SW1F- 4244","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4244","Group Call","4244","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"11","SW1F-4245","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4245","Group Call","4245","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"12","SW1F-4246","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4246","Group Call","4246","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"13","SW1F-4247","438.81250","431.21250","D-Digital","Low","12.5K","Off","Off","4247","Group Call","4247","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"14","SW1F-4248","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4248","Group Call","4248","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"15","SW1F-4249","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4249","Group Call","4249","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"16","SW1F-UNLINK","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","4000","Group Call","4000","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"17","SW1F-STATUS","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","5000","Group Call","5000","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"18","SW1F-ECHO","438.81250","431.21250","D-Digital","High","12.5K","Off","Off","9990","Group Call","9990","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"25","SW1J-202","438.63750","431.03750","D-Digital","Mid","12.5K","Off","Off","202","Group Call","202","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","Off","Digital","1","0","Off","0","1","0","0","0"
"26","SW1J-8","438.63750","431.03750","D-Digital","High","12.5K","Off","Off","8","Group Call","8","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","Off","Digital","1","0","On","0","1","0","0","0"
"27","SW1J-9","438.63750","431.03750","D-Digital","High","12.5K","Off","Off","9","Group Call","9","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","Off","Digital","1","0","On","0","1","0","0","0"
"28","SW1J-4048","438.63750","431.03750","D-Digital","High","12.5K","Off","Off","4048","Group Call","4048","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"29","SW1J-4148","438.63750","431.03750","D-Digital","High","12.5K","Off","Off","4148","Group Call","4148","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
