"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","439.35000","431.75000","1","Slot1","SV1N"
"2","438.42500","430.82500","1","Slot1","SV1Y"
"3","438.63750","431.03750","1","Slot1","SW2A"
"4","438.93750","431.33750","1","Slot1","SW2G"
"5","439.30000","431.70000","1","Slot1","SW2J"
"6","438.90000","431.30000","1","Slot1","SV4K"
"7","438.86250","431.26250","1","Slot1","SV5F"
"8","438.76250","431.16250","1","Slot1","SV5H"
"9","439.25000","431.65000","1","Slot1","SW8N"
"10","438.93750","431.33750","1","Slot1","SW8P"
"11","438.98750","431.38750","1","Slot1","SZ2RCK"
"12","438.68750","431.08750","1","Slot1","SZ4KRD"
"13","439.31250","431.71250","1","Slot1","SZ7DAK"
"14","438.96250","431.36250","1","Slot1","SZ7DAK 1"
"15","438.15000","430.55000","1","Slot1","SV7O"
"16","439.05000","431.45000","1","Slot1","SW2D"
"17","439.30000","431.70000","1","Slot1","SW1N"
"18","439.27500","431.67500","1","Slot1","SZ1SV"
"19","439.25000","431.65000","1","Slot1","SW2E"
"20","438.75000","431.15000","1","Slot1","SV6G"
"21","438.70000","431.10000","1","Slot1","SV6J"
"22","438.67500","431.07500","1","Slot1","SW8R"
"23","439.40000","431.80000","1","Slot1","SV9L"
"24","438.83750","431.23750","1","Slot1","SV9K"
"25","438.67500","431.07500","1","Slot1","SV9N"
"26","439.07500","431.47500","1","Slot1","SZ3P"
"27","439.00000","431.40000","1","Slot1","SZ6ARTA"
"28","438.91250","431.31200","1","Slot1","SZ8SAM"
"29","438.83750","431.23750","1","Slot1","SV2K"
"30","438.78750","431.18750","1","Slot1","SZ4THE"
"31","438.81250","431.21250","1","Slot1","SW1F"
"32","438.63750","431.03750","1","Slot1","SW1J"
"33","439.23750","431.63750","1","Slot1","SV3O"
"34","438.66250","431.06250","1","Slot1","SV4P"
"35","438.68750","431.08750","1","Slot1","SV9J"
