"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"1","SW1F","SW1F-202|SW1F-8|SW1F-9|SW1F-4048|SW1F-4148|SW1F-4240|SW1F-4241|SW1F-4242|SW1F-4243|SW1F- 4244|SW1F-4245|SW1F-4246|SW1F-4247|SW1F-4248|SW1F-4249|SW1F-UNLINK|SW1F-STATUS|SW1F-ECHO","438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250|438.81250","431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250|431.21250","SW1F-202","438.81250","431.21250","SW1F-8","438.81250","431.21250"
"2","SW1I","SW1I-202|SW1I-8|SW1I-9|SW1I-4048|SW1I-4148|SW1I-4240|SW1I-4241|SW1I-4242|SW1I-4243|SW1I- 4244|SW1I-4245|SW1I-4246|SW1I-4247|SW1I-4248|SW1I-4249|SW1I-UNLINK|SW1I-STATUS|SW1I-ECHO","438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750|438.73750","431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750|431.13750","SW1I-202","438.73750","431.13750","SW1I-8","438.73750","431.13750"
"3","SW1J","SW1J-202|SW1J-8|SW1J-9|SW1J-4048|SW1J-4148|SW1J-4240|SW1J-4241|SW1J-4242|SW1J-4243|SW1J- 4244|SW1J-4245|SW1J-4246|SW1J-4247|SW1J-4248|SW1J-4249|SW1J-UNLINK|SW1J-STATUS|SW1J-ECHO TEST","438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750","431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750","SW1J-202","438.63750","431.03750","SW1J-8","438.63750","431.03750"
"4","SW8T","SW8T-202|SW8T-8|SW8T-9|SW8T-4048|SW8T-4148|SW8T-4240|SW8T-4241|SW8T-4242|SW8T-4243|SW8T- 4244|SW8T-4245|SW8T-4246|SW8T-4247|SW8T-4248|SW8T-4249|SW8T-UNLINK|SW8T-STATUS|SW8T-ECHO","438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250","431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250","SW8T-202","438.76250","431.16250","SW8T-8","438.76250","431.16250"
"5","SV4P","SV4P-202|SV4P-8|SV4P-9|SV4P-4048|SV4P-4148|SV4P-4240|SV4P-4241|SV4P-4242|SV4P-4243|SV4P- 4244|SV4P-4245|SV4P-4246|SV4P-4247|SV4P-4248|SV4P-4249|SV4P-UNLINK|SV4P-STATUS|SV4P-ECHO","438.90000|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250|438.66250","431.30000|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250|431.06250","SV4P-202","438.90000","431.30000","SV4P-8","438.66250","431.06250"
"6","SV4K","SV4K-202|SV4K-8|SV4K-9|SV4K-4048|SV4K-4148|SV4K-4240|SV4K-4241|SV4K-4242|SV4K-4243|SV4K-4244|SV4K-4245|SV4K-4246|SV4K-4247|SV4K-4248|SV4K-4249|SV4K-STATUS|SV4K-UNLINK|SV4K-ECHO","438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000|438.90000","431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000","SV4K-202","438.90000","431.30000","SV4K-8","438.90000","431.30000"
"7","SV7O","SV7O-202|SV7O-8|SV7O-9|SV7O-4048|SV7O-4148|SV7O-4240|SV7O-4241|SV7O-4242|SV7O-4243|SV7O- 4244|SV7O-4245|SV7O-4246|SV7O-4247|SV7O-4248|SV7O-4249|SV7O-UNLINK|SV7O-STATUS|SV7O-ECHO","438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000|438.15000","430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000|430.55000","SV7O-202","438.15000","430.55000","SV7O-8","438.15000","430.55000"
"8","SW2A","SW2A-202|SW2A-8|SW2A-9|SW2A-4048|SW2A-4148|SW2A-4240|SW2A-4241|SW2A-4242|SW2A-4243|SW2A- 4244|SW2A-4245|SW2A-4246|SW2A-4247|SW2A-4248|SW2A-4249|SW2A-UNLINK|SW2A-STATUS|SW2A-ECHO","438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750|438.63750","431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750|431.03750","SW2A-202","438.63750","431.03750","SW2A-8","438.63750","431.03750"
"9","SW2G","SW2G-202|SW2G-8|SW2G-9|SW2G-4048|SW2G-4148|SW2G-4240|SW2G-4241|SW2G-4242|SW2G-4243|SW2G- 4244|SW2G-4245|SW2G-4246|SW2G-4247|SW2G-4248|SW2G-4249|SW2G-UNLINK|SW2G-STATUS|SW2G-ECHO","438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750","431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750","SW2G-202","438.93750","431.33750","SW2G-8","438.93750","431.33750"
"10","SZ7DAK","SZ7DAK-202|SZ7DAK-8|SZ7DAK-9|SZ7DAK-4048|SZ7DAK-ECHO|SZ7DAK-4148|SZ7DAK-4240|SZ7DAK-4241|SZ7DAK-4242|SZ7DAK-4243|SZ7DAK-4244|SZ7DAK-4245|SZ7DAK-4246|SZ7DAK-4247|SZ7DAK-4248|SZ7DAK-4249|SZ7DAK-STATUS|SZ7DAK-UNLINK","438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250|438.96250","431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250|431.36250","SZ7DAK-202","438.96250","431.36250","SZ7DAK-8","438.96250","431.36250"
